pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_eqt,st_spectype,st_rad,st_mass,ra,dec,sy_dist
11 Com b,11 Com,0,2,1,Radial Velocity,2007,326.03,1.29,0.05,-0.05,0,,,6165.6,19.4,,G8 III,19,2.7,185.1787793,17.7932516,93.1846
11 Com b,11 Com,1,2,1,Radial Velocity,2007,323.21,1.178,0,0,0,,,4914.89849,15.464,,G8 III,13.76,2.09,185.1787793,17.7932516,93.1846
11 UMi b,11 UMi,1,1,1,Radial Velocity,2009,516.21997,1.53,0.07,-0.07,0,,,4684.8142,14.74,,,29.79,2.78,229.2745954,71.8239428,125.321
11 UMi b,11 UMi,0,1,1,Radial Velocity,2009,516.22,1.54,0.07,-0.07,0,,,3337.07,10.5,,K4 III,24.08,1.8,229.2745954,71.8239428,125.321
14 And b,14 And,1,1,1,Radial Velocity,2008,186.76,0.775,0,0,0,,,1131.1513,3.559,,K0 III,11.55,1.78,352.82415,39.2358367,75.4392
14 And b,14 And,0,1,1,Radial Velocity,2008,185.84,0.83,,,0,,,1525.5,4.8,,K0 III,11,2.2,352.82415,39.2358367,75.4392
14 Her b,14 Her,0,1,2,Radial Velocity,2002,1773.4,2.77,0.05,-0.05,0,,,1474.67,4.64,,K0 V,,,242.6021014,43.8163621,17.9323
14 Her b,14 Her,0,1,2,Radial Velocity,2002,1766,2.864,,,0,,,1581.138,4.975,,,1,0.91,242.6021014,43.8163621,17.9323
14 Her b,14 Her,1,1,2,Radial Velocity,2002,1765.0389,2.774,0.109,-0.12,0,,,2559.47216,8.053,,,,0.91,242.6021014,43.8163621,17.9323
14 Her b,14 Her,0,1,2,Radial Velocity,2002,1773.40002,2.93,0.08,-0.08,0,,,1481.0878,4.66,,,0.93,0.9,242.6021014,43.8163621,17.9323
14 Her b,14 Her,0,1,2,Radial Velocity,2002,1796.4,2.8,,,0,,,1506.45,4.74,,,,0.9,242.6021014,43.8163621,17.9323
14 Her b,14 Her,0,1,2,Radial Velocity,2002,1766.41,2.83,0.041,-0.041,0,,,1541.46777,4.85,,,1,0.97,242.6021014,43.8163621,17.9323
14 Her b,14 Her,0,1,2,Radial Velocity,2002,1724,2.82,,,0,,,1554.12,4.89,,K0 V,,1,242.6021014,43.8163621,17.9323
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,799.45,1.676,0.025,-0.025,0,,,556.83537,1.752,,,1.16,0.98,295.4656422,50.5168243,21.1397
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,798.5,1.681,0.097,-0.097,0,,,533.9544,1.68,,,,0.99,295.4656422,50.5168243,21.1397
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,800.8,1.6,,,0,,,476.7,1.5,,G2.5 V,,1,295.4656422,50.5168243,21.1397
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,799.5,1.68,0.03,-0.03,0,,,533.93,1.68,,,1.13,1.03,295.4656422,50.5168243,21.1397
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,799.5,1.68,0.03,-0.03,0,,,533.93,1.68,,G3 V,,,295.4656422,50.5168243,21.1397
16 Cyg B b,16 Cyg B,1,3,1,Radial Velocity,1996,798.5,1.66,0.03,-0.03,0,,,565.7374,1.78,,,1.13,1.08,295.4656422,50.5168243,21.1397
17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,578.38,1.45,0.02,-0.02,0,,,1373.01872,4.32,,K3 III,25.92,1.22,243.4620874,-11.8377905,124.953
18 Del b,18 Del,0,2,1,Radial Velocity,2008,993.3,2.6,,,0,,,3273.5,10.3,,G6 III,8.5,2.3,314.6078375,10.8391378,76.222
18 Del b,18 Del,1,2,1,Radial Velocity,2008,982.85,2.476,0.002,-0.002,0,,,2926.24614,9.207,,G6 III,8.8,2.1,314.6078375,10.8391378,76.222
24 Boo b,24 Boo,0,1,1,Radial Velocity,2018,30.3506,0.19,0.012,-0.009,0,,,289.2253,0.91,,G3 IV,10.64,0.99,217.1555242,49.8446488,95.9863
24 Boo b,24 Boo,1,1,1,Radial Velocity,2018,30.33,0.194,0,0,0,,,280.64248,0.883,,G3 IV,12.19,1.05,217.1555242,49.8446488,95.9863
24 Sex b,24 Sex,1,1,2,Radial Velocity,2010,452.8,1.333,0.004,-0.009,0,,,632.46,1.99,,,4.9,1.54,155.8684866,-0.9023998,72.0691
24 Sex c,24 Sex,1,1,2,Radial Velocity,2010,883,2.08,0.05,-0.02,0,,,273.32,0.86,,,4.9,1.54,155.8684866,-0.9023998,72.0691
2MASS J19383260+4603591 b,2MASS J19383260+4603591,0,2,3,Eclipse Timing Variations,2015,416,0.92,0.02,-0.02,0,,,603.877,1.9,,,,0.48,294.6359173,46.0664076,396.332
30 Ari B b,30 Ari B,0,4,1,Radial Velocity,2009,335.1,0.995,0.012,-0.012,0,,,3140.03,9.88,,F6 V,1.13,1.16,39.2412736,24.6480103,44.657
30 Ari B b,30 Ari B,0,4,1,Radial Velocity,2009,345.4,1.01,0.01,-0.01,0,,,2097.678,6.6,,,1.13,1.16,39.2412736,24.6480103,44.657
30 Ari B b,30 Ari B,1,4,1,Radial Velocity,2009,335.10001,0.99,0.02,-0.02,0,,,4392.4106,13.82,,,1.41,1.93,39.2412736,24.6480103,44.657
4 UMa b,4 UMa,1,1,1,Radial Velocity,2006,270.27,0.877,0.001,0,0,,,2511.48007,7.902,,K1 III,18.11,1.23,130.0528099,64.3280504,73.4603
4 UMa b,4 UMa,0,1,1,Radial Velocity,2006,269.3,0.87,0.04,-0.04,0,,,2256.5,7.1,,K1 III,18.11,1.23,130.0528099,64.3280504,73.4603
42 Dra b,42 Dra,1,2,1,Radial Velocity,2008,479.1,1.19,0.01,-0.01,0,,,1233.13,3.88,,K1.5 III,22.03,0.98,276.4975053,65.5633652,90.6545
47 UMa b,47 UMa,0,1,3,Radial Velocity,1996,1076.6,2.1,0.022,-0.022,0,,,778.6835,2.45,,G0 V,,1.06,164.8647611,40.4304931,13.7967
47 UMa b,47 UMa,1,1,3,Radial Velocity,1996,1078,2.1,0.02,-0.02,0,,,804.08,2.53,,,1.21,1.06,164.8647611,40.4304931,13.7967
47 UMa b,47 UMa,0,1,3,Radial Velocity,1996,1100.8,2.11,,,0,,,877.17,2.76,,,,,164.8647611,40.4304931,13.7967
47 UMa b,47 UMa,0,1,3,Radial Velocity,1996,1083.2,2.11,0.04,-0.04,0,,,826.32,2.6,,G1 V,,,164.8647611,40.4304931,13.7967
47 UMa b,47 UMa,0,1,3,Radial Velocity,1996,1076.6,2.059,0.031,-0.032,0,,,774.86566,2.438,,,1.14,1.01,164.8647611,40.4304931,13.7967
47 UMa c,47 UMa,1,1,3,Radial Velocity,2001,2391,3.6,0.1,-0.1,0,,,171.621,0.54,,,1.21,1.06,164.8647611,40.4304931,13.7967
47 UMa c,47 UMa,0,1,3,Radial Velocity,2001,7586,7.73,0.58,-0.58,0,,,425.87,1.34,,G1 V,,,164.8647611,40.4304931,13.7967
47 UMa c,47 UMa,0,1,3,Radial Velocity,2001,2287,3.404,0.054,-0.056,0,,,157.96072,0.497,,,1.14,1.01,164.8647611,40.4304931,13.7967
47 UMa d,47 UMa,1,1,3,Radial Velocity,2009,14002,11.6,2.1,-2.9,0,,,521.22,1.64,,,1.21,1.06,164.8647611,40.4304931,13.7967
47 UMa d,47 UMa,0,1,3,Radial Velocity,2009,19000,13.8,4.8,-2.1,0,,,479.92089,1.51,,,1.14,1.01,164.8647611,40.4304931,13.7967
51 Peg b,51 Peg,0,1,1,Radial Velocity,1995,4.23077,0.052,,,0,,,148.738,0.468,,,,,344.3675399,20.7690958,15.4614
51 Peg b,51 Peg,0,1,1,Radial Velocity,1995,4.2307969,0.05235,0.00076,-0.00079,0,,,147.47238,0.464,,,1.19,1.07,344.3675399,20.7690958,15.4614
51 Peg b,51 Peg,0,1,1,Radial Velocity,1995,4.231,0.052,,,0,,,146.2018,0.46,,,,1.04,344.3675399,20.7690958,15.4614
51 Peg b,51 Peg,1,1,1,Radial Velocity,1995,4.230785,0.0527,0.003,-0.003,0,,,150.009,0.472,,,1.18,1.03,344.3675399,20.7690958,15.4614
55 Cnc b,55 Cnc,0,2,5,Radial Velocity,1996,14.65162,0.115,0.000001,-0.000001,0,,,261.881,0.824,,,0.96,0.9,133.1468373,28.3298154,12.5855
55 Cnc b,55 Cnc,0,2,5,Radial Velocity,1996,14.65126,0.1138,0.0066,-0.0066,0,,,260.61,0.82,,,0.96,0.9,133.1468373,28.3298154,12.5855
55 Cnc b,55 Cnc,0,2,5,Radial Velocity,1996,14.653,0.115,0.003,-0.003,0,,,266.9772,0.84,,G8 V,,0.95,133.1468373,28.3298154,12.5855
55 Cnc b,55 Cnc,0,2,5,Radial Velocity,1996,14.67,0.115,0.003,-0.003,0,,,249.17872,0.784,,,,0.95,133.1468373,28.3298154,12.5855
55 Cnc b,55 Cnc,0,2,5,Radial Velocity,1996,14.647,0.115,,,0,,,289.21,0.91,,,,,133.1468373,28.3298154,12.5855
55 Cnc b,55 Cnc,0,2,5,Radial Velocity,1996,14.65171,0.1162,0.0018,-0.0018,0,,,267.29369,0.841,,,0.96,0.97,133.1468373,28.3298154,12.5855
55 Cnc b,55 Cnc,0,2,5,Radial Velocity,1996,14.465314,0.11339,0.00011,-0.00011,0,,,266.966,0.84,,,0.96,0.9,133.1468373,28.3298154,12.5855
55 Cnc b,55 Cnc,1,2,5,Radial Velocity,1996,14.6516,0.1134,0.0006,-0.0006,0,,,255.4,0.8036,,,0.94,0.91,133.1468373,28.3298154,12.5855
55 Cnc b,55 Cnc,0,2,5,Radial Velocity,1996,14.65152,0.115227,0.000001,-0.000001,0,,,263.9785,0.8306,,,,0.95,133.1468373,28.3298154,12.5855
55 Cnc b,55 Cnc,0,2,5,Radial Velocity,1996,14.648,0.11,,,0,,,266.9772,0.84,,G8 V,,0.85,133.1468373,28.3298154,12.5855
55 Cnc b,55 Cnc,0,2,5,Radial Velocity,1996,14.6,0.113,,,0,,,254.25,0.8,700,K0 IV-V,,,133.1468373,28.3298154,12.5855
55 Cnc b,55 Cnc,0,2,5,Radial Velocity,1996,14.651,0.1134,0.0006,-0.0006,0,,,254.25,0.8,,,0.96,0.9,133.1468373,28.3298154,12.5855
55 Cnc c,55 Cnc,1,2,5,Radial Velocity,2004,44.3989,0.2373,0.0013,-0.0013,0,,,51.2,0.1611,,,0.94,0.91,133.1468373,28.3298154,12.5855
55 Cnc c,55 Cnc,0,2,5,Radial Velocity,2004,44.373,0.23735,0.00024,-0.00024,0,,,56.6985,0.1784,,,0.96,0.9,133.1468373,28.3298154,12.5855
55 Cnc c,55 Cnc,0,2,5,Radial Velocity,2004,44.3787,0.238,0.014,-0.014,0,,,52.44,0.165,,,0.96,0.9,133.1468373,28.3298154,12.5855
55 Cnc c,55 Cnc,0,2,5,Radial Velocity,2004,43.93,0.24,0.008,-0.008,0,,,68.96911,0.217,,,,0.95,133.1468373,28.3298154,12.5855
55 Cnc c,55 Cnc,0,2,5,Radial Velocity,2004,44.3827,0.2432,0.0037,-0.0038,0,,,54.34866,0.171,,,0.96,0.97,133.1468373,28.3298154,12.5855
55 Cnc c,55 Cnc,0,2,5,Radial Velocity,2004,44.38,0.237,0.0013,-0.0013,0,,,52.44,0.165,,,0.96,0.9,133.1468373,28.3298154,12.5855
55 Cnc c,55 Cnc,0,2,5,Radial Velocity,2004,44.3446,0.24,0.000045,-0.000045,0,,,53.711,0.169,,,0.96,0.9,133.1468373,28.3298154,12.5855
55 Cnc c,55 Cnc,0,2,5,Radial Velocity,2004,44.4175,0.241376,0.000026,-0.000026,0,,,54.4738,0.1714,,,,0.95,133.1468373,28.3298154,12.5855
55 Cnc d,55 Cnc,0,2,5,Radial Velocity,2002,4867,5.446,0.02,-0.02,0,,,1226.77,3.86,,,0.96,0.9,133.1468373,28.3298154,12.5855
55 Cnc d,55 Cnc,0,2,5,Radial Velocity,2002,5370,5.84,0.39,-0.39,0,,,1220.42,3.84,,,0.96,0.9,133.1468373,28.3298154,12.5855
55 Cnc d,55 Cnc,0,2,5,Radial Velocity,2002,4545,5.28,,,0,,,918.49,2.89,,,,,133.1468373,28.3298154,12.5855
55 Cnc d,55 Cnc,0,2,5,Radial Velocity,2002,4517.4,5.257,0.208,-0.208,0,,,1243.35096,3.912,,,,0.95,133.1468373,28.3298154,12.5855
55 Cnc d,55 Cnc,0,2,5,Radial Velocity,2002,4825,5.503,0.03,-0.03,0,,,1232.493,3.878,,,,0.95,133.1468373,28.3298154,12.5855
55 Cnc d,55 Cnc,1,2,5,Radial Velocity,2002,5574.2,5.957,0.074,-0.071,0,,,991.6,3.12,,,0.94,0.91,133.1468373,28.3298154,12.5855
55 Cnc d,55 Cnc,0,2,5,Radial Velocity,2002,4820,5.54,0.1,-0.1,0,,,908.98924,2.86,,,0.96,0.97,133.1468373,28.3298154,12.5855
55 Cnc d,55 Cnc,0,2,5,Radial Velocity,2002,5360,5.9,0.9,-0.9,0,,,1287.2115,4.05,,G8 V,,0.95,133.1468373,28.3298154,12.5855
55 Cnc d,55 Cnc,0,2,5,Radial Velocity,2002,4909,5.47,0.06,-0.06,0,,,1121.89,3.53,,,0.96,0.9,133.1468373,28.3298154,12.5855
55 Cnc d,55 Cnc,0,2,5,Radial Velocity,2002,5218,5.77,0.11,-0.11,0,,,1218.827,3.835,,,0.96,0.9,133.1468373,28.3298154,12.5855
55 Cnc e,55 Cnc,1,2,5,Radial Velocity,2004,0.7365474,0.01544,0.00005,-0.00005,0,1.875,0.167,7.99,0.02514,,,0.94,0.91,133.1468373,28.3298154,12.5855
